opponent_id,opponent_Rdiff,opponent_SRS,opponent_R_G,opponent_R,opponent_RBI,opponent_OBP,opponent_OPSP,opponent_RA,opponent_ERA,opponent_SV,opponent_HA,opponent_ER,opponent_ERAP,opponent_WHIP,Outcome
5,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
16,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
26,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
39,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
50,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
65,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
80,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
226,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
238,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
253,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
268,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
282,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
291,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
303,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
329,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
344,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
357,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
479,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
493,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
504,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
515,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
529,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
543,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
664,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
678,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
692,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
702,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
717,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
733,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
801,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
816,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
831,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
847,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
856,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
871,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
884,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
992,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1007,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1023,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1039,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1051,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1066,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1080,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1186,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1200,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1217,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1231,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1244,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1259,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1329,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1344,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1359,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1522,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1536,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1551,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1578,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1593,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1606,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1686,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1700,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1713,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1727,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1742,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1771,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1785,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1963,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1976,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
1993,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2002,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2017,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2034,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2146,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2155,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2170,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2279,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2292,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2307,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2322,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2348,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2363,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
2376,0.600,0.600,4.519,732.000,4.000,0.322,94.000,4.000,110.000,54.000,1381.000,642.000,1.338,2.430,0
